Open DHCP Server Version 1.81 Windows Build 1055

[07-Jul-22 03:34:48] Closing Network Connections...
[07-Jul-22 03:34:48] Open DHCP Server Stopped !

[07-Jul-22 08:05:48] Open DHCP Server Version 1.81 Windows Build 1055 (64bit) Starting...
[07-Jul-22 08:05:48] Logging: Normal
[07-Jul-22 08:05:48] Warning: No IP Address for DHCP Static Host 00:ff:a4:0e:ef:99 specified
[07-Jul-22 08:05:48] Warning: No IP Address for DHCP Static Host ff:00:27:78:7b:01 specified
[07-Jul-22 08:05:48] Warning: No IP Address for DHCP Static Host ff:00:27:78:7b:02 specified
[07-Jul-22 08:05:48] Default Lease: 36000 (sec)
[07-Jul-22 08:05:48] Server Name: TIC18-SAMPIEMOT
[07-Jul-22 08:05:48] Warning: No IP Address for DHCP Static Host ff:00:27:78:7b:03 specified
[07-Jul-22 08:05:48] Detecting Static Interfaces..
[07-Jul-22 08:05:48] No Static Interface ready, Waiting...
[07-Jul-22 08:05:50] Network changed, re-detecting Static Interfaces..
[07-Jul-22 08:05:50] No Static Interface ready, Waiting...
[07-Jul-22 08:05:53] Network changed, re-detecting Static Interfaces..
[07-Jul-22 08:05:53] No Static Interface ready, Waiting...
[07-Jul-22 08:05:56] Network changed, re-detecting Static Interfaces..
[07-Jul-22 08:05:56] No Static Interface ready, Waiting...
[07-Jul-22 08:05:59] Network changed, re-detecting Static Interfaces..
[07-Jul-22 08:05:59] No Static Interface ready, Waiting...
[07-Jul-22 08:07:45] Network changed, re-detecting Static Interfaces..
[07-Jul-22 08:07:45] No Static Interface ready, Waiting...
[07-Jul-22 08:17:57] Network changed, re-detecting Static Interfaces..
[07-Jul-22 08:17:57] No Static Interface ready, Waiting...
[07-Jul-22 08:21:04] Network changed, re-detecting Static Interfaces..
[07-Jul-22 08:21:04] No Static Interface ready, Waiting...
[07-Jul-22 08:24:14] Network changed, re-detecting Static Interfaces..
[07-Jul-22 08:24:14] No Static Interface ready, Waiting...
[07-Jul-22 16:17:13] Network changed, re-detecting Static Interfaces..
[07-Jul-22 16:17:13] No Static Interface ready, Waiting...
[07-Jul-22 16:20:23] Network changed, re-detecting Static Interfaces..
[07-Jul-22 16:20:23] No Static Interface ready, Waiting...
[07-Jul-22 16:24:24] Network changed, re-detecting Static Interfaces..
[07-Jul-22 16:24:24] No Static Interface ready, Waiting...
[07-Jul-22 17:20:35] Network changed, re-detecting Static Interfaces..
[07-Jul-22 17:20:35] No Static Interface ready, Waiting...
[07-Jul-22 17:20:42] Network changed, re-detecting Static Interfaces..
[07-Jul-22 17:20:42] No Static Interface ready, Waiting...
[07-Jul-22 17:21:02] Network changed, re-detecting Static Interfaces..
[07-Jul-22 17:21:02] No Static Interface ready, Waiting...
[07-Jul-22 22:56:57] Closing Network Connections...
[07-Jul-22 22:56:58] Open DHCP Server Stopped !

